"Subtribe","Species Name","Authority","Synonymous","Chromosome number  (2n)","Chromosome number  (n)","Chromosome number  Reference","Genome Size (1C (pg))","Genome Size Reference"
"Catasetinae","Catasetum callosum ","Lindl.","Catasetum acallosum Lindl. ex Rchb.f.; Catasetum arachnoides Ames; Catasetum arachnoideum Ames; Catasetum callosum var. grandiflorum Hook.; Catasetum darwinianum Rolfe; Catasetum fuliginosum Lindl.; Catasetum fuliginosum Rolfe;Catasetum landsbergii Lindl. & Paxton; Catasetum recurvatum Link, Klotzsch & Otto; Myanthus callosus Beer; Myanthus grandiflorus Beer; Myanthus landsbergii (Lindl. & Paxton) Reinw. & de Vriese ",108,"NA","Jones & Daker (1968)","NA",
"Catasetinae","Catasetum cassideum","Linden & Rchb.f.",,54,"NA","Jones & Daker (1968)","NA",
"Catasetinae","Catasetum cernuum ","(Lindl.) Rchb.f.","Catasetum cernuum var. revolutum Cogn.; Catasetum cernuum var. umbrosum (Barb.Rodr.) Cogn.; Catasetum trifidum Hook.; Catasetum umbrosum Barb.Rodr.; Catasetum viride (Lindl.) Lindl.; Monachanthus viridis Lindl.; Myanthus cernuus Lindl. ",54,"NA","Jones & Daker (1968)","NA",
"Catasetinae","Catasetum fimbriatum ","(C.Morren) Lindl.","Catasetum cogniauxii L.Linden; Catasetum fimbriatum var. aurantiacum Porsch; Catasetum fimbriatum var. brevipetalum Porsch; Catasetum fimbriatum var. fissum Rchb.f.; Catasetum fimbriatum var. inconstans (Hoehne) Mansf.; Catasetum fimbriatum var. micranthum Porsch; Catasetum fimbriatum var. morrenianum Mansf.; Catasetum fimbriatum var. ornithorrhynchum (Porsch) Mansf.; Catasetum fimbriatum var. platypterum Rchb.f.; Catasetum fimbriatum var. subtropicale Hauman; Catasetum fimbriatum var. viridulum Rchb.f.; Catasetum inconstans Hoehne; Catasetum ornithorrhynchum Porsch; Catasetum pflanzii Schltr.; Catasetum wredeanum Schltr.; Myanthus fimbriatus C.Morren ",108,"NA","Jones & Daker (1968)",11.34,"Vieira (2013)"
"Catasetinae","Catasetum integerrimum","Hook.","Catasetum integerrimum var. purpurascens Hook.; Catasetum integerrimum var. viridiflorum Hook.; Catasetum wailesii Hook. ",54,"NA","Jones & Daker (1968)","NA",
"Catasetinae","Catasetum luridum ","(Link) Lindl.","Anguloa lurida Link; Catasetum abruptum Hook.; Catasetum lituratum Hoffmanns.; Catasetum squalidum Hoffmanns.;Epidendrum ollare Vell. ","c.54","NA","Jones & Daker (1968)","NA",
"Catasetinae","Catasetum pileatum ","Rchb.f.","Catasetum bungerothii N.E.Br.; Catasetum bungerothii var. album Linden & Rodigas; Catasetum bungerothii var. aurantiacum Cogn.; Catasetum bungerothii var. imperiale (L.Linden & Cogn.) Cogn.; Catasetum bungerothii var. lindenii Gower; Catasetum bungerothii var. pottsianum L.Linden & Rodigas; Catasetum bungerothii var. randii Rodigas; Catasetum bungerothii var. regale Gower; Catasetum imperiale L.Linden & Cogn.; Catasetum pileatum var. album (Linden & Rodigas) Hoehne; Catasetum pileatum var. imperiale (L.Linden & Cogn.) Cogn. ex Hoehne; Catasetum pileatum var. lindenii (Gower) Hoehne; Catasetum pileatum var. regale (Gower) Hoehne; Catasetum × splendens var. imperiale (L.Linden & Cogn.) Rolfe ","c.108","NA","Jones & Daker (1968)","NA",
"Catasetinae","Catasetum planiceps ","Lindl.","Catasetum chloranthum Cogn.; Catasetum hymenophorum Cogn. ","c.108, c.162","NA","Jones & Daker (1968)","NA",
"Catasetinae","Catasetum viridiflavum ","Hook.","Catasetum serratum Lindl.",54,"NA","Jones & Daker (1968)","NA",
"Catasetinae","Catasetum deltoideum ","(Lindl.) Mutel",,"c.54","NA","Jones & Daker (1968)","NA",
"Catasetinae","Catasetum x altaflorestense ","Benelli & Grade",,80,"NA","Vieira (2013)",06.04,"Vieira (2013)"
"Catasetinae","Catasetum boyi ","Mansf.",,54,"NA","Vieira (2013)",06.03,"Vieira (2013)"
"Catasetinae","Catasetum blackii ","Pabst",,66,"NA","Vieira (2013)",06.06,"Vieira (2013)"
"Catasetinae","Catasetum socco","(Vell.) Hoehne","Catasetum lichtensteinii Kraenzl.; Catasetum trulla Lindl.; Catasetum trulla var. lichtensteinii (Kraenzl.) Mansf.; Catasetum trulla var. maculatissimum Rchb.f.; Catasetum trulla var. subimberbe Rchb.f.; Catasetum trulla var. typum Hoehne; Cypripedium socco Vell.; Paphiopedilum socco (Vell.) Pfitzer ",54,"NA","Jones & Daker (1968)","NA",
